
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3670      ,"X": 29.84%,"Y":102.38%,"Timestamp": 3458.33
"Frame": 3670      ,"X": 29.84%,"Y":102.38%,"Timestamp": 3458.33
"Frame": 3671      ,"X": 27.30%,"Y":102.26%,"Timestamp": 3478.64
"Frame": 3672      ,"X": 25.25%,"Y":101.97%,"Timestamp": 3498.87
"Frame": 3673      ,"X": 23.75%,"Y":102.15%,"Timestamp": 3519.17
"Frame": 3674      ,"X": 22.25%,"Y":101.92%,"Timestamp": 3539.43
"Frame": 3675      ,"X": 21.05%,"Y":101.66%,"Timestamp": 3559.62
"Frame": 3676      ,"X": 20.11%,"Y":101.46%,"Timestamp": 3579.93
"Frame": 3677      ,"X": 19.38%,"Y":101.53%,"Timestamp": 3600.13
"Frame": 3678      ,"X": 18.38%,"Y":101.61%,"Timestamp": 3620.37
"Frame": 3679      ,"X": 17.82%,"Y":101.60%,"Timestamp": 3640.68
"Frame": 3679      ,"X": 17.82%,"Y":101.60%,"Timestamp": 3640.68
"Frame": 3680      ,"X": 17.36%,"Y":101.36%,"Timestamp": 3660.93
"Frame": 3681      ,"X": 17.06%,"Y":101.31%,"Timestamp": 3681.09
"Frame": 3682      ,"X": 16.81%,"Y":101.39%,"Timestamp": 3701.38
"Frame": 3683      ,"X": 16.44%,"Y":101.12%,"Timestamp": 3721.61
"Frame": 3684      ,"X": 15.87%,"Y":100.95%,"Timestamp": 3741.87
"Frame": 3685      ,"X": 15.55%,"Y":101.07%,"Timestamp": 3762.13
"Frame": 3686      ,"X": 15.14%,"Y":101.48%,"Timestamp": 3782.37
"Frame": 3687      ,"X": 14.92%,"Y":101.75%,"Timestamp": 3802.63
"Frame": 3688      ,"X": 14.70%,"Y":101.83%,"Timestamp": 3822.88
"Frame": 3689      ,"X": 14.52%,"Y":102.10%,"Timestamp": 3843.12
"Frame": 3690      ,"X": 13.93%,"Y":102.57%,"Timestamp": 3863.43
"Frame": 3691      ,"X": 13.50%,"Y":102.73%,"Timestamp": 3883.68
"Frame": 3692      ,"X": 13.18%,"Y":103.13%,"Timestamp": 3903.92
"Frame": 3693      ,"X": 13.17%,"Y":103.18%,"Timestamp": 3924.13
"Frame": 3694      ,"X": 13.08%,"Y":103.20%,"Timestamp": 3944.36
"Frame": 3695      ,"X": 13.01%,"Y":103.22%,"Timestamp": 3964.62
"Frame": 3696      ,"X": 12.91%,"Y":103.37%,"Timestamp": 3984.88
"Frame": 3697      ,"X": 12.86%,"Y":103.43%,"Timestamp": 4005.17
"Frame": 3698      ,"X": 12.85%,"Y":103.49%,"Timestamp": 4025.42
"Frame": 3699      ,"X": 12.83%,"Y":103.41%,"Timestamp": 4045.62
"Frame": 3700      ,"X": 12.87%,"Y":103.13%,"Timestamp": 4065.92
"Frame": 3701      ,"X": 12.92%,"Y":103.08%,"Timestamp": 4086.18
"Frame": 3702      ,"X": 12.98%,"Y":103.03%,"Timestamp": 4106.38
"Frame": 3703      ,"X": 13.08%,"Y":102.73%,"Timestamp": 4126.62
"Frame": 3704      ,"X": 13.18%,"Y":102.70%,"Timestamp": 4146.88
"Frame": 3705      ,"X": 13.54%,"Y":102.09%,"Timestamp": 4167.11
"Frame": 3706      ,"X": 13.66%,"Y":101.43%,"Timestamp": 4187.37
